StockCode,description,gross_revenue,units,orders,customers,returns_value,returns_units,reversal_value,net_revenue,return_rate_pct,return_rate_adj_pct,avg_unit_price,cum_share_pct,rank
23542,WALL ART 70'S ALPHABET,3800.16,506,89,55,48.7,6.0,0.0,3751.46,1.28,1.28,7.51,73.91,646
21746,SMALL RED RETROSPOT WINDMILL,3766.93,3075,226,122,18.75,15.0,0.0,3748.18,0.5,0.5,1.23,73.95,647
23299,FOOD COVER WITH BEADS SET 2,3772.88,1012,146,110,30.0,8.0,0.0,3742.88,0.8,0.8,3.73,73.98,648
22195,LARGE HEART MEASURING SPOONS,3720.66,1976,373,148,1.65,1.0,0.0,3719.01,0.04,0.04,1.88,74.02,649
22956,36 FOIL HEART CAKE CASES,3983.39,2050,198,144,283.2,152.0,0.0,3700.19,7.11,7.11,1.94,74.06,650
22809,SET OF 6 T-LIGHTS SANTA,3781.2,1240,204,141,83.7,30.0,35.4,3697.5,2.21,1.29,3.05,74.1,651
22842,BISCUIT TIN VINTAGE RED,3823.21,589,162,120,127.45,19.0,0.0,3695.76,3.33,3.33,6.49,74.14,652
23127,FELTCRAFT GIRL NICOLE KIT,3759.0,736,194,146,64.35,13.0,0.0,3694.65,1.71,1.71,5.11,74.17,653
22854,CREAM SWEETHEART EGG HOLDER,3708.52,767,161,123,14.85,3.0,0.0,3693.67,0.4,0.4,4.84,74.21,654
23092,LARGE ANTIQUE WHITE PHOTO FRAME,3757.78,523,135,96,77.75,10.0,0.0,3680.03,2.07,2.07,7.19,74.25,655
23182,TOILET SIGN OCCUPIED OR VACANT,3688.21,3741,433,140,11.62,14.0,0.0,3676.59,0.32,0.32,0.99,74.29,656
22890,NOVELTY BISCUITS CAKE STAND 3 TIER,3939.87,385,165,94,268.25,29.0,9.95,3671.62,6.81,6.57,10.23,74.32,657
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3674.11,1147,231,143,18.4,6.0,0.0,3655.71,0.5,0.5,3.2,74.36,658
22212,FOUR HOOK  WHITE LOVEBIRDS,3700.94,1609,399,145,50.4,24.0,0.0,3650.54,1.36,1.36,2.3,74.4,659
23013,GLASS APOTHECARY BOTTLE TONIC,3674.16,924,223,135,23.7,6.0,0.0,3650.46,0.65,0.65,3.98,74.44,660
21531,RED RETROSPOT SUGAR JAM BOWL,3682.17,1516,246,143,36.45,15.0,0.0,3645.72,0.99,0.99,2.43,74.47,661
22738,RIBBON REEL SNOWY VILLAGE,3829.67,2173,275,147,190.5,130.0,0.0,3639.17,4.97,4.97,1.76,74.51,662
23497,CLASSIC CHROME BICYCLE BELL,3656.02,2558,195,150,17.4,12.0,17.4,3638.62,0.48,0.0,1.43,74.55,663
22378,WALL TIDY RETROSPOT,3638.57,2283,293,69,2.1,1.0,0.0,3636.47,0.06,0.06,1.59,74.59,664
23191,BUNDLE OF 3 RETRO NOTE BOOKS,3628.89,2201,281,182,4.95,3.0,0.0,3623.94,0.14,0.14,1.65,74.62,665
22468,BABUSHKA LIGHTS STRING OF 10,3633.17,517,153,82,19.45,3.0,0.0,3613.72,0.54,0.54,7.03,74.66,666
23091,ZINC HERB GARDEN CONTAINER,3656.32,580,209,160,43.75,7.0,6.25,3612.57,1.2,1.03,6.3,74.7,667
22053,EMPIRE DESIGN ROSETTE,3606.42,4244,28,23,1.25,1.0,0.0,3605.17,0.03,0.03,0.85,74.73,668
23294,SET OF 6 SNACK LOAF BAKING CASES,3607.81,4392,354,214,10.79,13.0,1.66,3597.02,0.3,0.25,0.82,74.77,669
85053,FRENCH ENAMEL CANDLEHOLDER,3649.49,1693,317,157,57.16,28.0,0.0,3592.33,1.57,1.57,2.16,74.81,670
22493,PAINT YOUR OWN CANVAS SET,3986.64,2461,220,125,396.45,273.0,0.0,3590.19,9.94,9.94,1.62,74.84,671
21658,GLASS  BEURRE DISH,3709.78,878,212,82,124.58,32.0,0.0,3585.2,3.36,3.36,4.23,74.88,672
21260,FIRST AID TIN,3722.23,1161,166,104,139.75,43.0,0.0,3582.48,3.75,3.75,3.21,74.92,673
85132C,CHARLIE AND LOLA FIGURES TINS,3587.19,1523,214,96,9.75,5.0,1.95,3577.44,0.27,0.22,2.36,74.95,674
22348,TEA BAG PLATE RED RETROSPOT,3583.29,4084,358,144,10.2,12.0,0.0,3573.09,0.28,0.28,0.88,74.99,675
21494,ROTATING LEAVES T-LIGHT HOLDER,3571.33,1928,313,79,2.5,2.0,0.0,3568.83,0.07,0.07,1.85,75.03,676
22926,IVORY GIANT GARDEN THERMOMETER,3656.85,594,195,140,89.25,15.0,47.6,3567.6,2.44,1.15,6.16,75.06,677
22812,PACK 3 BOXES CHRISTMAS PANNETONE,3608.3,1725,185,98,40.95,21.0,23.4,3567.35,1.13,0.49,2.09,75.1,678
22908,PACK OF 20 NAPKINS RED APPLES,3569.58,4380,375,212,2.55,3.0,0.0,3567.03,0.07,0.07,0.81,75.14,679
23111,PARISIENNE SEWING BOX,3839.24,312,138,80,283.2,24.0,0.0,3556.04,7.38,7.38,12.31,75.17,680
22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,3556.97,1818,318,168,16.5,10.0,0.0,3540.47,0.46,0.46,1.96,75.21,681
23332,IVORY WICKER HEART LARGE,3542.71,2059,287,207,3.3,2.0,0.0,3539.41,0.09,0.09,1.72,75.25,682
84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,3585.99,317,104,36,51.0,4.0,0.0,3534.99,1.42,1.42,11.31,75.28,683
20717,STRAWBERRY SHOPPER BAG,3561.98,2855,412,150,27.5,22.0,0.0,3534.48,0.77,0.77,1.25,75.32,684
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,3560.74,870,203,109,37.5,10.0,0.0,3523.24,1.05,1.05,4.09,75.35,685
22688,DOORMAT PEACE ON EARTH BLUE,3519.66,705,32,26,0.0,0.0,0.0,3519.66,0.0,0.0,4.99,75.39,686
21992,VINTAGE PAISLEY STATIONERY SET,3510.72,1901,436,160,0.0,0.0,0.0,3510.72,0.0,0.0,1.85,75.43,687
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,3507.17,1330,231,116,0.0,0.0,0.0,3507.17,0.0,0.0,2.64,75.46,688
23189,SET OF 12 FORK CANDLES,3507.51,1249,141,89,2.89,1.0,0.0,3504.62,0.08,0.08,2.81,75.5,689
21703,BAG 125G SWIRLY MARBLES,3528.89,9390,294,175,36.54,87.0,25.2,3492.35,1.04,0.32,0.38,75.53,690
23353,6 GIFT TAGS VINTAGE CHRISTMAS,3510.05,4007,327,227,19.92,24.0,0.0,3490.13,0.57,0.57,0.88,75.57,691
21527,RED RETROSPOT TRADITIONAL TEAPOT,3724.99,477,144,95,260.3,34.0,0.0,3464.69,6.99,6.99,7.81,75.6,692
21745,GAOLERS KEYS DECORATIVE GARDEN,3475.73,935,214,115,15.0,4.0,0.0,3460.73,0.43,0.43,3.72,75.64,693
21974,SET OF 36 PAISLEY FLOWER DOILIES,3545.6,2219,360,177,88.45,61.0,1.45,3457.15,2.49,2.45,1.6,75.67,694
23085,ANTIQUE SILVER BAUBLE LAMP,3583.23,376,78,64,128.75,13.0,0.0,3454.48,3.59,3.59,9.53,75.71,695
84508A,CAMOUFLAGE DESIGN TEDDY,3448.05,1631,36,17,2.55,1.0,0.0,3445.5,0.07,0.07,2.11,75.75,696
21238,RED RETROSPOT CUP,3488.44,3969,387,160,43.22,51.0,17.0,3445.22,1.24,0.76,0.88,75.78,697
21385,IVORY HANGING DECORATION  HEART,3442.45,3883,317,153,1.7,2.0,0.0,3440.75,0.05,0.05,0.89,75.82,698
22065,CHRISTMAS PUDDING TRINKET POT,3462.25,6729,241,132,22.02,22.0,0.0,3440.23,0.64,0.64,0.51,75.85,699
21588,RETROSPOT GIANT TUBE MATCHES,3442.5,1494,132,99,2.55,1.0,0.0,3439.95,0.07,0.07,2.3,75.89,700
23388,WOODLAND MINI BACKPACK,3432.09,821,154,115,0.0,0.0,0.0,3432.09,0.0,0.0,4.18,75.92,701
22669,RED BABY BUNTING,3559.0,1128,234,143,127.5,50.0,0.0,3431.5,3.58,3.58,3.16,75.96,702
22435,SET OF 9 HEART SHAPED BALLOONS,3445.5,2757,266,153,15.0,12.0,0.0,3430.5,0.44,0.44,1.25,75.99,703
23426,METAL SIGN DROP YOUR PANTS,3444.43,1275,206,126,17.34,6.0,17.34,3427.09,0.5,0.0,2.7,76.03,704
23536,WALL ART VILLAGE SHOW,3442.13,626,85,68,23.8,4.0,0.0,3418.33,0.69,0.69,5.5,76.06,705
22760,"TRAY, BREAKFAST IN BED",3491.86,275,80,50,74.7,6.0,0.0,3417.16,2.14,2.14,12.7,76.1,706
23232,WRAP VINTAGE LEAF DESIGN,3436.92,8526,238,188,21.42,51.0,10.92,3415.5,0.62,0.31,0.4,76.13,707
23350,ROLL WRAP VINTAGE SPOT,3445.08,2712,305,205,30.0,24.0,0.0,3415.08,0.87,0.87,1.27,76.17,708
23065,LARGE DECO JEWELLERY STAND,3427.44,273,99,81,12.5,1.0,0.0,3414.94,0.36,0.36,12.55,76.2,709
21497,FANCY FONTS BIRTHDAY WRAP,3409.0,8550,230,177,0.0,0.0,0.0,3409.0,0.0,0.0,0.4,76.24,710
22782,SET 3 WICKER STORAGE BASKETS,3399.95,241,74,65,0.0,0.0,0.0,3399.95,0.0,0.0,14.11,76.27,711
23014,GLASS APOTHECARY BOTTLE ELIXIR,3419.58,856,209,122,35.55,9.0,0.0,3384.03,1.04,1.04,3.99,76.31,712
22311,OFFICE MUG WARMER BLACK+SILVER,3403.76,1132,142,61,20.65,7.0,0.0,3383.11,0.61,0.61,3.01,76.34,713
22029,SPACEBOY BIRTHDAY CARD,3387.57,8161,527,234,5.04,12.0,0.0,3382.53,0.15,0.15,0.42,76.38,714
23354,6 GIFT TAGS 50'S CHRISTMAS,3429.4,3740,322,235,49.8,60.0,29.88,3379.6,1.45,0.59,0.92,76.41,715
22300,COFFEE MUG DOG + BALL DESIGN,3409.21,1528,196,100,33.15,13.0,0.0,3376.06,0.97,0.97,2.23,76.44,716
23156,SET OF 5 MINI GROCERY MAGNETS,3423.29,1665,205,117,49.92,24.0,0.0,3373.37,1.46,1.46,2.06,76.48,717
47567B,TEA TIME KITCHEN APRON,3414.5,602,133,81,46.3,8.0,0.0,3368.2,1.36,1.36,5.67,76.51,718
22687,DOORMAT CHRISTMAS VILLAGE,3354.22,590,52,30,0.0,0.0,0.0,3354.22,0.0,0.0,5.69,76.55,719
79000,MOROCCAN TEA GLASS,3357.34,4162,125,69,6.05,9.0,0.0,3351.29,0.18,0.18,0.81,76.58,720
22563,HAPPY STENCIL CRAFT,3348.18,2823,281,171,1.25,1.0,0.0,3346.93,0.04,0.04,1.19,76.62,721
82580,BATHROOM METAL SIGN,3473.21,5881,631,210,127.0,290.0,0.0,3346.21,3.66,3.66,0.59,76.65,722
21993,FLORAL FOLK STATIONERY SET,3355.84,1937,425,151,15.0,12.0,15.0,3340.84,0.45,0.0,1.73,76.68,723
23210,WHITE ROCKING HORSE HAND PAINTED,3551.53,2849,192,115,219.76,200.0,25.0,3331.77,6.19,5.52,1.25,76.72,724
22180,RETROSPOT LAMP,3521.54,330,155,92,194.65,20.0,0.0,3326.89,5.53,5.53,10.67,76.75,725
22653,BUTTON BOX,3378.5,1876,250,73,58.5,30.0,0.0,3320.0,1.73,1.73,1.8,76.79,726
21429,RED GINGHAM ROSE JEWELLERY BOX,3391.15,1740,286,147,74.1,42.0,0.0,3317.05,2.19,2.19,1.95,76.82,727
22432,WATERING CAN PINK BUNNY,3342.82,1716,277,158,27.3,14.0,11.7,3315.52,0.82,0.47,1.95,76.85,728
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",3328.2,415,146,27,12.75,1.0,12.75,3315.45,0.38,0.0,8.02,76.89,729
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,3384.98,1003,313,78,82.6,28.0,0.0,3302.38,2.44,2.44,3.37,76.92,730
22855,FINE WICKER HEART,3301.73,2642,237,152,15.0,12.0,15.0,3286.73,0.45,0.0,1.25,76.96,731
22079,RIBBON REEL HEARTS DESIGN,3325.29,1897,323,190,49.5,30.0,0.0,3275.79,1.49,1.49,1.75,76.99,732
23308,SET OF 60 VINTAGE LEAF CAKE CASES,3272.61,6139,382,209,0.0,0.0,0.0,3272.61,0.0,0.0,0.53,77.02,733
22460,EMBOSSED GLASS TEALIGHT HOLDER,3273.5,2546,211,118,23.75,19.0,0.0,3249.75,0.73,0.73,1.29,77.06,734
23053,RECYCLED ACAPULCO MAT PINK,3254.32,364,164,105,8.25,1.0,0.0,3246.07,0.25,0.25,8.94,77.09,735
22244,3 HOOK HANGER MAGIC GARDEN,3276.21,1703,159,66,31.2,16.0,0.0,3245.01,0.95,0.95,1.92,77.12,736
23239,SET OF 4 KNICK KNACK TINS POPPIES,3353.84,842,178,125,115.8,28.0,0.0,3238.04,3.45,3.45,3.98,77.16,737
22187,GREEN CHRISTMAS TREE CARD HOLDER,3245.68,1266,192,123,14.7,4.0,0.0,3230.98,0.45,0.45,2.56,77.19,738
23395,BELLE JARDINIERE CUSHION COVER,3257.08,748,210,141,26.25,7.0,0.0,3230.83,0.81,0.81,4.35,77.22,739
22567,20 DOLLY PEGS RETROSPOT,3251.6,2448,222,135,32.7,26.0,0.0,3218.9,1.01,1.01,1.33,77.25,740
21463,MIRRORED DISCO BALL,3435.05,649,134,77,216.9,42.0,0.0,3218.15,6.31,6.31,5.29,77.29,741
22962,JAM JAR WITH PINK LID,3288.11,3896,342,180,72.12,85.0,0.0,3215.99,2.19,2.19,0.84,77.32,742
22746,POPPY'S PLAYHOUSE LIVINGROOM,3236.54,1447,328,179,25.2,12.0,0.0,3211.34,0.78,0.78,2.24,77.35,743
20973,12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,355,191,2.6,4.0,0.0,3207.67,0.08,0.08,0.71,77.39,744
23051,RECYCLED ACAPULCO MAT BLUE,3223.49,365,162,95,16.5,2.0,0.0,3206.99,0.51,0.51,8.83,77.42,745
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,3271.41,1171,138,122,64.9,22.0,0.0,3206.51,1.98,1.98,2.79,77.45,746
23035,DRAWER KNOB CERAMIC IVORY,3199.99,2191,191,110,13.05,9.0,0.0,3186.94,0.41,0.41,1.46,77.48,747
23230,WRAP ALPHABET DESIGN,3217.92,7976,235,178,31.5,75.0,10.5,3186.42,0.98,0.65,0.4,77.52,748
22491,PACK OF 12 COLOURED PENCILS,3183.63,3947,219,162,10.2,12.0,0.0,3173.43,0.32,0.32,0.81,77.55,749
23342,MINT DINER WALL CLOCK,3176.41,373,163,105,8.5,1.0,0.0,3167.91,0.27,0.27,8.52,77.58,750
21115,ROSE CARAVAN DOORSTOP,3162.24,562,162,104,0.0,0.0,0.0,3162.24,0.0,0.0,5.63,77.61,751
21868,POTTING SHED TEA MUG,3259.75,2477,302,153,99.41,85.0,0.0,3160.34,3.05,3.05,1.32,77.65,752
22430,ENAMEL WATERING CAN CREAM,3241.34,617,195,131,99.0,20.0,0.0,3142.34,3.05,3.05,5.25,77.68,753
23323,WHITE WICKER STAR,3146.78,1469,294,210,6.3,3.0,0.0,3140.48,0.2,0.2,2.14,77.71,754
84968A,SET OF 16 VINTAGE ROSE CUTLERY,3264.63,272,101,32,127.5,10.0,0.0,3137.13,3.91,3.91,12.0,77.74,755
23393,HOME SWEET HOME CUSHION COVER,3207.91,801,229,165,78.75,21.0,0.0,3129.16,2.45,2.45,4.0,77.78,756
21561,DINOSAUR LUNCH BOX WITH CUTLERY,3127.38,1281,213,116,5.1,2.0,0.0,3122.28,0.16,0.16,2.44,77.81,757
22236,CAKE STAND 3 TIER MAGIC GARDEN,3624.6,308,88,67,508.95,45.0,0.0,3115.65,14.04,14.04,11.77,77.84,758
23346,SPACEBOY BEAKER,3112.34,2628,184,106,7.5,6.0,0.0,3104.84,0.24,0.24,1.18,77.87,759
22465,HANGING METAL STAR LANTERN,3141.54,2053,198,119,42.15,27.0,0.0,3099.39,1.34,1.34,1.53,77.9,760
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,3131.24,1811,224,88,42.25,25.0,0.0,3088.99,1.35,1.35,1.73,77.93,761
20754,RETROSPOT RED WASHING UP GLOVES,3088.86,1457,304,153,2.1,1.0,0.0,3086.76,0.07,0.07,2.12,77.97,762
21240,BLUE POLKADOT CUP,3110.26,3570,325,149,30.34,36.0,17.0,3079.92,0.98,0.43,0.87,78.0,763
21135,VICTORIAN  METAL POSTCARD SPRING,3206.0,2869,177,122,128.72,296.0,121.96,3077.28,4.01,0.22,1.12,78.03,764
20828,GLITTER BUTTERFLY CLIPS,3074.78,1128,241,116,0.0,0.0,0.0,3074.78,0.0,0.0,2.73,78.06,765
22604,SET OF 4 NAPKIN CHARMS CUTLERY,3039.66,1251,125,77,0.0,0.0,0.0,3039.66,0.0,0.0,2.43,78.09,766
23329,DECORATIVE WICKER HEART LARGE,3038.19,1767,233,168,4.95,3.0,0.0,3033.24,0.16,0.16,1.72,78.12,767
22894,TABLECLOTH RED APPLES DESIGN,3027.38,305,122,82,0.0,0.0,0.0,3027.38,0.0,0.0,9.93,78.15,768
23461,SWEETHEART BIRD HOUSE,3041.21,847,94,75,16.6,4.0,0.0,3024.61,0.55,0.55,3.59,78.18,769
23390,DOLLY GIRL MINI BACKPACK,3025.59,747,163,117,4.15,1.0,0.0,3021.44,0.14,0.14,4.05,78.22,770
22592,CARDHOLDER HOLLY WREATH METAL,3021.12,658,135,79,7.5,2.0,0.0,3013.62,0.25,0.25,4.59,78.25,771
22972,CHILDREN'S SPACEBOY MUG,3067.64,1795,229,139,56.1,34.0,0.0,3011.54,1.83,1.83,1.71,78.28,772
23231,WRAP DOILEY DESIGN,3008.34,7277,260,190,0.0,0.0,0.0,3008.34,0.0,0.0,0.41,78.31,773
85184C,S/4 VALENTINE DECOUPAGE HEART BOX,2997.42,1654,195,116,0.0,0.0,0.0,2997.42,0.0,0.0,1.81,78.34,774
21714,CITRONELLA CANDLE GARDEN POT,3010.65,1651,225,106,25.0,20.0,0.0,2985.65,0.83,0.83,1.82,78.37,775
21201,TROPICAL  HONEYCOMB PAPER GARLAND,2987.82,1240,101,44,2.55,1.0,0.0,2985.27,0.09,0.09,2.41,78.4,776
22644,CERAMIC CHERRY CAKE MONEY BANK,2986.97,2214,276,146,13.05,9.0,0.0,2973.92,0.44,0.44,1.35,78.43,777
22331,WOODLAND PARTY BAG + STICKER SET,2975.14,1840,183,101,3.3,2.0,0.0,2971.84,0.11,0.11,1.62,78.46,778
16161P,WRAP ENGLISH ROSE,2980.42,7201,248,189,10.5,25.0,0.0,2969.92,0.35,0.35,0.41,78.49,779
23242,TREASURE TIN BUFFALO BILL,3024.63,1470,214,132,56.16,27.0,2.08,2968.47,1.86,1.79,2.06,78.52,780
22906,12 MESSAGE CARDS WITH ENVELOPES,2947.87,1733,251,150,1.65,1.0,0.0,2946.22,0.06,0.06,1.7,78.55,781
21918,SET 12 KIDS COLOUR  CHALK STICKS,2950.25,7199,369,193,6.72,16.0,0.42,2943.53,0.23,0.21,0.41,78.58,782
21625,VINTAGE UNION JACK APRON,2939.51,407,169,97,0.0,0.0,0.0,2939.51,0.0,0.0,7.22,78.61,783
21411,GINGHAM HEART  DOORSTOP RED,2961.83,785,241,147,25.5,6.0,0.0,2936.33,0.86,0.86,3.77,78.64,784
22778,GLASS CLOCHE SMALL,3146.82,808,143,80,223.12,64.0,0.0,2923.7,7.09,7.09,3.89,78.67,785
22078,RIBBON REEL LACE DESIGN,2923.21,1369,192,105,0.0,0.0,0.0,2923.21,0.0,0.0,2.14,78.7,786
85174,S/4 CACTI CANDLES,2927.08,613,157,55,14.15,3.0,0.0,2912.93,0.48,0.48,4.78,78.73,787
22360,GLASS JAR ENGLISH CONFECTIONERY,3192.82,1010,214,102,282.0,104.0,0.0,2910.82,8.83,8.83,3.16,78.76,788
22777,GLASS CLOCHE LARGE,2951.53,352,58,37,41.65,5.0,0.0,2909.88,1.41,1.41,8.39,78.79,789
21810,CHRISTMAS HANGING STAR WITH BELL,2981.84,5840,252,129,73.75,59.0,60.0,2908.09,2.47,0.47,0.51,78.82,790
22892,SET OF SALT AND PEPPER TOADSTOOLS,3021.6,2472,199,117,115.19,96.0,0.0,2906.41,3.81,3.81,1.22,78.85,791
23211,RED ROCKING HORSE HAND PAINTED,2930.57,2329,160,82,30.0,24.0,0.0,2900.57,1.02,1.02,1.26,78.88,792
47559B,TEA TIME OVEN GLOVE,2927.55,2180,315,152,37.5,30.0,0.0,2890.05,1.28,1.28,1.34,78.91,793
21112,"SWISS ROLL TOWEL, PINK  SPOTS",2885.13,1359,82,37,0.0,0.0,0.0,2885.13,0.0,0.0,2.12,78.94,794
22656,VINTAGE BLUE KITCHEN CABINET,3685.0,26,20,17,800.0,6.0,125.0,2885.0,21.71,18.96,141.73,78.97,795
22810,SET OF 6 T-LIGHTS SNOWMEN,3022.08,944,165,106,140.1,54.0,0.0,2881.98,4.64,4.64,3.2,79.0,796
23290,SPACEBOY CHILDRENS BOWL,2890.35,2430,214,125,12.5,10.0,0.0,2877.85,0.43,0.43,1.19,79.03,797
23345,DOLLY GIRL BEAKER,2886.25,2451,174,100,8.75,7.0,0.0,2877.5,0.3,0.3,1.18,79.06,798
21313,GLASS HEART T-LIGHT HOLDER,2893.77,3321,214,96,23.62,31.0,0.64,2870.15,0.82,0.79,0.87,79.09,799
22354,RETROSPOT PADDED SEAT CUSHION,2860.98,750,83,43,3.39,1.0,0.0,2857.59,0.12,0.12,3.81,79.12,800
21990,MODERN FLORAL STATIONERY SET,2870.0,1672,366,127,15.0,12.0,0.0,2855.0,0.52,0.52,1.72,79.14,801
21976,PACK OF 60 MUSHROOM CAKE CASES,2869.9,5199,393,181,15.95,29.0,0.0,2853.95,0.56,0.56,0.55,79.17,802
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,2871.75,2254,140,56,19.81,16.0,0.0,2851.94,0.69,0.69,1.27,79.2,803
23504,PLAYING CARDS JUBILEE UNION JACK,2848.89,1927,208,164,0.0,0.0,0.0,2848.89,0.0,0.0,1.48,79.23,804
23427,STOOL HOME SWEET HOME,2860.58,237,114,87,22.9,2.0,0.0,2837.68,0.8,0.8,12.07,79.26,805
22843,BISCUIT TIN VINTAGE GREEN,2904.52,450,126,92,67.5,10.0,0.0,2837.02,2.32,2.32,6.45,79.29,806
22965,3 TRADITIONAL BISCUIT CUTTERS  SET,2910.61,1371,236,171,79.8,38.0,0.0,2830.81,2.74,2.74,2.12,79.32,807
23196,VINTAGE LEAF MAGNETIC NOTEPAD,2842.24,1872,298,170,18.85,13.0,0.0,2823.39,0.66,0.66,1.52,79.35,808
22426,ENAMEL WASH BOWL CREAM,2855.21,742,208,104,45.0,12.0,0.0,2810.21,1.58,1.58,3.85,79.38,809
22945,CHRISTMAS METAL TAGS ASSORTED,3008.92,2991,172,118,200.58,258.0,108.78,2808.34,6.67,3.17,1.01,79.41,810
21563,RED HEART SHAPE LOVE BUCKET,2803.13,1395,159,95,0.0,0.0,0.0,2803.13,0.0,0.0,2.01,79.43,811
22476,EMPIRE UNION JACK TV DINNER TRAY,2839.21,880,125,61,39.6,8.0,39.6,2799.61,1.39,0.0,3.23,79.46,812
35004B,SET OF 3 BLACK FLYING DUCKS,2934.81,577,111,30,136.8,30.0,0.0,2798.01,4.66,4.66,5.09,79.49,813
23212,HEART WREATH DECORATION WITH BELL,2860.89,2296,186,104,75.0,60.0,45.0,2785.89,2.62,1.07,1.25,79.52,814
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,2763.2,936,112,54,0.0,0.0,0.0,2763.2,0.0,0.0,2.95,79.55,815
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,2761.9,1702,202,145,3.3,2.0,1.65,2758.6,0.12,0.06,1.62,79.58,816
22224,WHITE LOVEBIRD LANTERN,2764.06,834,164,89,11.8,4.0,0.0,2752.26,0.43,0.43,3.31,79.6,817
22794,SWEETHEART WIRE MAGAZINE RACK,2784.9,326,182,114,39.75,5.0,0.0,2745.15,1.43,1.43,8.54,79.63,818
22823,CHEST NATURAL WOOD 20 DRAWERS,2745.0,24,13,13,0.0,0.0,0.0,2745.0,0.0,0.0,114.38,79.66,819
23341,PINK DINER WALL CLOCK,2741.35,307,121,75,0.0,0.0,0.0,2741.35,0.0,0.0,8.93,79.69,820
22072,RED RETROSPOT TEA CUP AND SAUCER,2811.17,848,162,90,71.25,19.0,0.0,2739.92,2.53,2.53,3.32,79.72,821
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,2739.4,2075,191,82,0.0,0.0,0.0,2739.4,0.0,0.0,1.32,79.74,822
23100,SILVER BELLS TABLE DECORATION,2739.38,2166,257,180,1.25,1.0,0.0,2738.13,0.05,0.05,1.26,79.77,823
22380,TOY TIDY SPACEBOY,2815.46,1312,285,114,77.7,37.0,21.0,2737.76,2.76,2.03,2.15,79.8,824
23396,LE JARDIN BOTANIQUE CUSHION COVER,2750.53,654,196,134,15.0,4.0,0.0,2735.53,0.55,0.55,4.21,79.83,825
23147,SINGLE ANTIQUE ROSE HOOK IVORY,2752.2,1868,261,170,21.75,15.0,0.0,2730.45,0.79,0.79,1.47,79.86,826
22196,SMALL HEART MEASURING SPOONS,2754.16,2847,472,146,24.13,29.0,20.4,2730.03,0.88,0.14,0.97,79.88,827
21985,PACK OF 12 HEARTS DESIGN TISSUES,2729.51,8775,427,262,0.0,0.0,0.0,2729.51,0.0,0.0,0.31,79.91,828
23266,SET OF 3 WOODEN STOCKING DECORATION,2743.82,2053,319,201,15.0,12.0,15.0,2728.82,0.55,0.0,1.34,79.94,829
21499,BLUE POLKADOT WRAP,2809.34,6927,217,175,82.5,225.0,0.0,2726.84,2.94,2.94,0.41,79.97,830
23164,REGENCY CAKE SLICE,2718.65,578,92,70,4.95,1.0,0.0,2713.7,0.18,0.18,4.7,80.0,831
47599B,BLUE PARTY BAGS,2822.32,1480,118,69,109.2,52.0,0.0,2713.12,3.87,3.87,1.91,80.02,832
22925,BLUE GIANT GARDEN THERMOMETER,2757.47,449,182,125,47.6,8.0,0.0,2709.87,1.73,1.73,6.14,80.05,833
23489,VINTAGE BELLS GARLAND,2709.23,913,159,125,0.0,0.0,0.0,2709.23,0.0,0.0,2.97,80.08,834
84832,ZINC WILLIE WINKIE  CANDLE STICK,2712.7,2933,268,137,10.2,12.0,0.0,2702.5,0.38,0.38,0.92,80.11,835
22974,CHILDRENS DOLLY GIRL MUG,2729.69,1598,204,126,33.0,20.0,0.0,2696.69,1.21,1.21,1.71,80.13,836
22283,6 EGG HOUSE PAINTED WOOD,2726.43,299,155,82,31.8,4.0,0.0,2694.63,1.17,1.17,9.12,80.16,837
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,2690.81,1963,299,177,1.25,1.0,0.0,2689.56,0.05,0.05,1.37,80.19,838
21239,PINK  POLKADOT CUP,2707.34,3016,307,141,17.85,21.0,17.0,2689.49,0.66,0.03,0.9,80.22,839
22963,JAM JAR WITH GREEN LID,2777.99,3290,307,165,90.86,115.0,0.0,2687.13,3.27,3.27,0.84,80.24,840
22702,BLACK AND WHITE CAT BOWL,2684.65,1363,49,35,0.0,0.0,0.0,2684.65,0.0,0.0,1.97,80.27,841
23333,IVORY WICKER HEART MEDIUM,2695.45,2089,233,179,15.0,12.0,0.0,2680.45,0.56,0.56,1.29,80.3,842
22660,DOORMAT I LOVE LONDON,2678.96,364,102,56,0.0,0.0,0.0,2678.96,0.0,0.0,7.36,80.33,843
84568,GIRLS ALPHABET IRON ON PATCHES,2678.33,12442,147,18,0.0,0.0,0.0,2678.33,0.0,0.0,0.22,80.35,844
